aegis_instrument_id,trade_date,open,high,low,close,volume,event_time,available_time,ingested_time
AEGIS-IN-000001,2026-06-22,100,104,99,103,100000,2026-06-22T10:00:00+00:00,2026-06-22T10:30:00+00:00,2026-06-22T10:35:00+00:00
AEGIS-IN-000002,2026-06-22,200,203,198,202,90000,2026-06-22T10:00:00+00:00,2026-06-22T10:30:00+00:00,2026-06-22T10:35:00+00:00
AEGIS-IN-000003,2026-06-22,50,52,49,51,150000,2026-06-22T10:00:00+00:00,2026-06-22T10:30:00+00:00,2026-06-22T10:35:00+00:00
AEGIS-IN-000004,2026-06-22,80,83,79,82,80000,2026-06-22T10:00:00+00:00,2026-06-22T10:30:00+00:00,2026-06-22T10:35:00+00:00
AEGIS-IN-000005,2026-06-22,120,123,118,121,70000,2026-06-22T10:00:00+00:00,2026-06-22T10:30:00+00:00,2026-06-22T10:35:00+00:00
AEGIS-IN-000001,2026-06-23,104,106,102,105,100000,2026-06-23T10:00:00+00:00,2026-06-23T10:30:00+00:00,2026-06-23T10:35:00+00:00
AEGIS-IN-000002,2026-06-23,203,206,201,205,90000,2026-06-23T10:00:00+00:00,2026-06-23T10:30:00+00:00,2026-06-23T10:35:00+00:00
AEGIS-IN-000003,2026-06-23,52,53,51,52,150000,2026-06-23T10:00:00+00:00,2026-06-23T10:30:00+00:00,2026-06-23T10:35:00+00:00
AEGIS-IN-000004,2026-06-23,83,85,81,84,80000,2026-06-23T10:00:00+00:00,2026-06-23T10:30:00+00:00,2026-06-23T10:35:00+00:00
AEGIS-IN-000005,2026-06-23,122,124,119,123,70000,2026-06-23T10:00:00+00:00,2026-06-23T10:30:00+00:00,2026-06-23T10:35:00+00:00
AEGIS-IN-000001,2026-06-24,106,108,104,107,100000,2026-06-24T10:00:00+00:00,2026-06-24T10:30:00+00:00,2026-06-24T10:35:00+00:00
AEGIS-IN-000002,2026-06-24,206,208,204,207,90000,2026-06-24T10:00:00+00:00,2026-06-24T10:30:00+00:00,2026-06-24T10:35:00+00:00
AEGIS-IN-000003,2026-06-24,53,55,52,54,150000,2026-06-24T10:00:00+00:00,2026-06-24T10:30:00+00:00,2026-06-24T10:35:00+00:00
AEGIS-IN-000004,2026-06-24,85,88,84,87,80000,2026-06-24T10:00:00+00:00,2026-06-24T10:30:00+00:00,2026-06-24T10:35:00+00:00
AEGIS-IN-000005,2026-06-24,124,126,122,125,70000,2026-06-24T10:00:00+00:00,2026-06-24T10:30:00+00:00,2026-06-24T10:35:00+00:00
AEGIS-IN-000001,2026-06-25,108,110,106,109,100000,2026-06-25T10:00:00+00:00,2026-06-25T10:30:00+00:00,2026-06-25T10:35:00+00:00
AEGIS-IN-000002,2026-06-25,208,210,206,209,90000,2026-06-25T10:00:00+00:00,2026-06-25T10:30:00+00:00,2026-06-25T10:35:00+00:00
AEGIS-IN-000003,2026-06-25,55,57,54,56,150000,2026-06-25T10:00:00+00:00,2026-06-25T10:30:00+00:00,2026-06-25T10:35:00+00:00
AEGIS-IN-000004,2026-06-25,88,90,86,89,80000,2026-06-25T10:00:00+00:00,2026-06-25T10:30:00+00:00,2026-06-25T10:35:00+00:00
AEGIS-IN-000005,2026-06-25,126,128,124,127,70000,2026-06-25T10:00:00+00:00,2026-06-25T10:30:00+00:00,2026-06-25T10:35:00+00:00
AEGIS-IN-000001,2026-06-26,110,112,108,111,100000,2026-06-26T10:00:00+00:00,2026-06-26T10:30:00+00:00,2026-06-26T10:35:00+00:00
AEGIS-IN-000002,2026-06-26,210,213,208,212,90000,2026-06-26T10:00:00+00:00,2026-06-26T10:30:00+00:00,2026-06-26T10:35:00+00:00
AEGIS-IN-000003,2026-06-26,57,59,56,58,150000,2026-06-26T10:00:00+00:00,2026-06-26T10:30:00+00:00,2026-06-26T10:35:00+00:00
AEGIS-IN-000004,2026-06-26,90,92,88,91,80000,2026-06-26T10:00:00+00:00,2026-06-26T10:30:00+00:00,2026-06-26T10:35:00+00:00
AEGIS-IN-000005,2026-06-26,128,131,126,130,70000,2026-06-26T10:00:00+00:00,2026-06-26T10:30:00+00:00,2026-06-26T10:35:00+00:00
